========================================
Stress-NG Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer...

Baseline mode (no stressors) for 60 seconds...

Baseline period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

========== RECEIVED SPEEDOMETER STATISTICS ==========
Total cycles: 1199
Deadline misses: 0 (0.00%)
Execution time:
  Mean: 212.513 us
  Min: 150.736 us
  Max: 2161.440 us
Jitter:
  Mean: 1844.129 us
  Max: 5505.200 us
Response time:
  Mean: 2056.642 us
  Min: 1458.256 us
  Max: 5736.768 us
====================================================

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 410328   2472  28428    0    0     0     0   22   26  0  0 100  0  0 1970-01-01 00:02:20
 0  0      0 410328   2472  28428    0    0     0     0   18   17  0  0 100  0  0 1970-01-01 00:02:21
 0  0      0 410328   2472  28428    0    0     0     0   24   26  0  1 100  0  0 1970-01-01 00:02:22
 0  0      0 410328   2480  28428    0    0     0    12   40   34  0  1 98  2  0 1970-01-01 00:02:23
 0  0      0 410328   2480  28428    0    0     0     0   22   24  0  0 100  0  0 1970-01-01 00:02:24
 0  0      0 410328   2480  28428    0    0     0     0   18   19  0  0 100  0  0 1970-01-01 00:02:25
 1  0      0 410328   2480  28428    0    0     0     0   26   23  0  0 100  0  0 1970-01-01 00:02:26
 0  0      0 410328   2480  28428    0    0     0     0   21   23  0  1 100  0  0 1970-01-01 00:02:27
 0  0      0 410328   2480  28428    0    0     0     0   19   23  0  0 100  0  0 1970-01-01 00:02:28
 0  0      0 410328   2488  28428    0    0     0    12   28   33  0  1 99  1  0 1970-01-01 00:02:29
 0  0      0 410328   2488  28428    0    0     0     0   22   23  0  0 100  0  0 1970-01-01 00:02:30
 0  0      0 410328   2488  28428    0    0     0     0   21   19  0  1 100  0  0 1970-01-01 00:02:31
 0  0      0 410328   2488  28432    0    0     0     0   26   35  0  0 100  0  0 1970-01-01 00:02:32
 0  0      0 410328   2488  28432    0    0     0     0   16   17  0  0 99  0  0 1970-01-01 00:02:33
 1  0      0 410328   2488  28432    0    0     0     0   20   22  0  0 100  0  0 1970-01-01 00:02:34
 0  0      0 410328   2496  28432    0    0     0    12   25   27  1  0 99  1  0 1970-01-01 00:02:35
 0  0      0 410328   2496  28432    0    0     0     0   17   25  0  0 100  0  0 1970-01-01 00:02:36
 1  0      0 410328   2496  28432    0    0     0     0   25   21  1  0 100  0  0 1970-01-01 00:02:37
 0  0      0 410328   2496  28432    0    0     0     0   15   22  0  0 100  0  0 1970-01-01 00:02:38
 0  0      0 410328   2496  28432    0    0     0     0   21   19  0  0 100  0  0 1970-01-01 00:02:39
 0  0      0 410328   2496  28432    0    0     0     0   21   27  0  0 100  0  0 1970-01-01 00:02:40
 0  0      0 410328   2504  28428    0    0     0    12   36   34  0  0 98  2  0 1970-01-01 00:02:41
 0  0      0 410328   2504  28432    0    0     0   144   35   30  0  1 99  0  0 1970-01-01 00:02:42
